code,category
1,Продукция и услуги сельского хозяйства и охоты 
2,"Продукция лесоводства, лесозаготовок и связанные с этим услуги "
3,"Рыба и прочая продукция рыболовства и рыбоводства; услуги, связанные с рыболовством и рыбоводством "
5,Уголь 
6,Нефть и газ природный 
7,Руды металлические 
8,Продукция горнодобывающих производств прочая 
9,Услуги в области добычи полезных ископаемых 
10,Продукты пищевые 
11,Напитки 
12,Изделия табачные 
13,Текстиль и изделия текстильные 
14,Одежда 
15,Кожа и изделия из кожи 
16,"Древесина и изделия из дерева и пробки, кроме мебели; изделия из соломки и материалов для плетения "
17,Бумага и изделия из бумаги 
18,"Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств "
19,Кокс и нефтепродукты 
20,Вещества химические и продукты химические 
21,"Средства лекарственные и материалы, применяемые в медицинских целях "
22,Изделия резиновые и пластмассовые 
23,Продукты минеральные неметаллические прочие 
24,Металлы основные 
25,"Изделия металлические готовые, кроме машин и оборудования "
26,"Оборудование компьютерное, электронное и оптическое "
27,Оборудование электрическое 
28,"Машины и оборудование, не включенные в другие группировки "
29,"Средства автотранспортные, прицепы и полуприцепы "
30,"Средства транспортные и оборудование, прочие "
31,Мебель 
32,Изделия готовые прочие 
33,Услуги по ремонту и монтажу машин и оборудования 
35,"Электроэнергия, газ, пар и кондиционирование воздуха "
36,Вода природная; услуги по очистке воды и водоснабжению 
37,Услуги по водоотведению; шлам сточных вод 
38,"Услуги по сбору, обработке и удалению отходов; услуги по утилизации отходов "
39,Услуги по рекультивации и прочие услуги по утилизации отходов 
41,Здания и работы по возведению зданий 
42,Сооружения и строительные работы в области гражданского строительства 
43,Работы строительные специализированные 
45,Услуги по оптовой и розничной торговле и услуги по ремонту автотранспортных средств и мотоциклов 
46,"Услуги по оптовой торговле, кроме оптовой торговли автотранспортными средствами и мотоциклами "
47,"Услуги по розничной торговле, кроме розничной торговли автотранспортными средствами и мотоциклами "
49,Услуги сухопутного и трубопроводного транспорта 
50,Услуги водного транспорта 
51,Услуги воздушного и космического транспорта 
52,Услуги по складированию и вспомогательные транспортные услуги 
53,Услуги почтовой связи и услуги курьерские 
55,Услуги по предоставлению мест для временного проживания 
56,Услуги общественного питания 
58,Услуги издательские 
59,"Услуги по производству кинофильмов, видеофильмов и телевизионных программ, звукозаписей и изданию музыкальных записей "
60,Услуги в области телеи радиовещания 
61,Услуги телекоммуникационные 
62,Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий 
63,Услуги в области информационных технологий 
64,"Услуги финансовые, кроме услуг по страхованию и пенсионному обеспечению "
65,"Услуги по страхованию, перестрахованию и негосударственному пенсионному обеспечению, кроме обязательного социального обеспечения "
66,"Услуги вспомогательные, связанные с услугами финансового посредничества и страхования "
68,Услуги по операциям с недвижимым имуществом 
69,Услуги юридические и бухгалтерские 
70,Услуги головных офисов; услуги консультативные в области управления предприятием 
71,"Услуги в области архитектуры и инженерно-технического проектирования, технических испытаний, исследований и анализа "
72,"Услуги и работы, связанные с научными исследованиями и экспериментальными разработками "
73,Услуги рекламные и услуги по исследованию конъюнктуры рынка 
74,"Услуги профессиональные, научные и технические, прочие "
75,Услуги ветеринарные 
77,Услуги по аренде и лизингу 
78,Услуги по трудоустройству и подбору персонала 
79,"Услуги туристических агентств, туроператоров и прочие услуги по бронированию и сопутствующие им услуги "
80,Услуги по обеспечению безопасности и проведению расследований 
81,Услуги по обслуживанию зданий и территорий 
82,"Услуги в области административного, хозяйственного и прочего вспомогательного обслуживания "
84,"Услуги в области государственного управления и обеспечения военной безопасности, услуги в области обязательного социального обеспечения "
85,Услуги в области образования 
86,Услуги в области здравоохранения 
87,Услуги по предоставлению ухода с обеспечением проживания 
88,Услуги социальные без обеспечения проживания 
90,"Услуги в области творчества, искусства и развлечений "
91,"Услуги библиотек, архивов, музеев и прочие услуги в области культуры "
92,"Услуги по организации и проведению азартных игр и заключению пари, лотерей "
93,"Услуги, связанные со спортом, и услуги по организации развлечений и отдыха "
94,Услуги общественных организаций и прочих некоммерческих организаций 
95,"Услуги по ремонту компьютеров, предметов личного потребления и бытовых товаров "
96,Услуги персональные прочие 
97,Услуги домашних хозяйств с наемными работниками 
98,Продукция и различные услуги частных домашних хозяйств для собственных нужд 
99,"Услуги, предоставляемые экстерриториальными организациями и органами "
1.1,Культуры однолетние 
1.11,"Культуры зерновые (кроме риса), зернобобовые, семена масличных культур "
1.12,Рис нешелушеный 
1.13,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды "
1.14,Тростник сахарный 
1.15,Табак необработанный 
1.16,Культуры волокнистые прядильные 
1.19,Культуры однолетние прочие 
1.2,Культуры многолетние 
1.21,Виноград 
1.22,Фрукты тропические и субтропические 
1.23,Плоды цитрусовых культур 
1.24,Плоды семечковых и косточковых культур 
1.25,"Плоды прочих плодовых деревьев, кустарников и орехов "
1.26,Плоды масличных культур 
1.27,Культуры для производства напитков 
1.28,"Пряности и растения, используемые в парфюмерии и фармации "
1.29,Культуры многолетние прочие 
1.3,"Материалы растительные: растения живые; луковицы, клубнелуковицы и корневища; отводки и черенки; грибницы "
1.4,Животные живые и продукты животного происхождения 
1.41,"Скот молочный крупный рогатый живой, молоко сырое крупного рогатого скота "
1.42,Скот крупный рогатый прочий и буйволы живые и их сперма 
1.43,Лошади и прочие животные семейства лошадиных живые 
1.44,Верблюды и прочие животные семейства верблюдовых живые 
1.45,Овцы и козы живые 
1.46,Свиньи живые 
1.47,Птица сельскохозяйственная живая и яйца 
1.49,Животные живые прочие и продукты животного происхождения 
1.6,"Услуги в области растениеводства и животноводства, кроме ветеринарных услуг "
1.61,"Услуги, связанные с выращиванием сельскохозяйственных культур "
1.62,Услуги в области животноводства 
1.63,"Услуги в области растениеводства, предоставляемые после сбора урожая "
1.64,Услуги по обработке и подготовке семян сельскохозяйственных культур к севу 
1.7,"Услуги, связанные с охотой, ловлей и разведением диких животных "
2.1,"Продукция лесоводства, услуги лесопитомников "
2.2,Лесоматериалы необработанные 
2.3,Продукция лесного хозяйства прочая 
2.4,"Услуги, связанные с лесоводством и лесозаготовками "
3.1,"Рыба и прочая продукция рыболовства; услуги, связанные с рыболовством "
3.11,"Рыба и прочая продукция морского рыболовства; услуги, связанные с морским рыболовством "
3.12,"Рыба и прочая продукция пресноводного рыболовства; услуги, связанные с пресноводным рыболовством "
3.2,"Рыба и прочая продукция рыбоводства; услуги, связанные с рыбоводством "
3.21,"Рыба и прочая продукция морского рыбоводства; услуги, связанные с морским рыбоводством "
3.22,"Рыба и прочая продукция пресноводного рыбоводства; услуги, связанные с пресноводным рыбоводством "
5.1,Уголь 
5.2,Уголь бурый (лигнит) 
6.1,Нефть 
6.2,Газ природный в газообразном или сжиженном состоянии 
7.1,Руды железные 
7.2,Руды цветных металлов 
7.21,Руды урановые и ториевые 
7.29,Руды и концентраты прочих цветных металлов 
8.1,"Камень, песок и глина "
8.11,"Камень для памятников или строительства, известняк, гипс, мел и сланцы "
8.12,"Гравий, песок, глины и каолин "
8.9,"Продукция горнодобывающих производств, не включенная в другие группировки "
8.91,Сырье минеральное для химических производств и производства удобрений 
8.92,Торф 
8.93,"Соль и хлорид натрия чистый, вода морская "
8.99,"Продукция горнодобывающих производств прочая, не включенная в другие группировки "
9.1,Услуги по добычи нефти и природного газа 
9.1,Услуги по добыче нефти и природного газа 
9.9,Услуги в горнодобывающем производстве прочие 
10.1,"Мясо и мясо птицы, прочие продукты убоя. Мясные пищевые продукты, включая продукты из мяса птицы "
10.11,"Мясо и прочие продукты убоя, включая мясо консервированное "
10.12,"Мясо сельскохозяйственной птицы и прочие продукты убоя, включая консервированные "
10.13,"Продукция мясная пищевая, в том числе из мяса птицы "
10.2,"Рыба переработанная и консервированная, ракообразные и моллюски "
10.3,Фрукты и овощи переработанные и консервированные 
10.31,Картофель переработанный и консервированный 
10.32,Продукция соковая из фруктов и овощей 
10.39,"Фрукты, овощи и грибы переработанные и консервированные, не включенные в другие группировки "
10.4,Масла и жиры животные и растительные 
10.41,Масла и жиры 
10.42,"Маргарин, спреды растительно-сливочные и растительно-жировые, смеси топленые растительно-сливочные и растительно-жировые, жиры специального назначения, заменители молочного жира, эквиваленты, улучшители, заменители масла какао "
10.5,Молоко и молочная продукция 
10.52,Мороженое 
10.6,"Продукция мукомольно-крупяного производства, крахмалы и крахмалопродукты "
10.61,Продукция мукомольно-крупяного производства 
10.62,Крахмалы и крахмалопродукты 
10.7,Изделия хлебобулочные и мучные кондитерские 
10.71,"Изделия хлебобулочные; мучные кондитерские изделия, торты и пирожные недлительного хранения "
10.72,"Изделия сухарные и печенье; мучные кондитерские изделия, торты и пирожные длительного хранения "
10.73,"Изделия макаронные, кускус и аналогичные мучные изделия "
10.8,Продукты пищевые прочие 
10.81,Сахар 
10.82,"Какао, шоколад и изделия кондитерские сахаристые "
10.83,Чай и кофе обработанные 
10.84,Приправы и пряности 
10.85,Продукты пищевые готовые и блюда 
10.86,Продукция детского питания и диетическая 
10.89,"Продукты пищевые прочие, не включенные в другие группировки "
10.9,Корма готовые для животных 
10.91,Корма готовые для сельскохозяйственных животных 
10.92,Корм готовый для непродуктивных животных 
11.0,Напитки 
11.01,Напитки алкогольные дистиллированные и ректификованные 
11.02,Вина виноградные 
11.03,Сидр и прочие плодовые вина 
11.04,Напитки сброженные недистиллированные прочие 
11.05,Пиво 
11.06,Солод 
11.07,Напитки безалкогольные; минеральные воды и прочие питьевые воды в бутылках 
12.0,Изделия табачные 
13.1,Пряжа и нити текстильные 
13.2,Ткани текстильные 
13.3,Услуги по отделке пряжи и тканей 
13.9,Изделия текстильные прочие 
13.91,Полотна трикотажные или вязаные 
13.92,Изделия текстильные готовые (кроме одежды) 
13.93,Ковры и ковровые изделия 
13.94,"Канаты, веревки, шпагат и сети "
13.95,Материалы нетканые и изделия из них (кроме одежды) 
13.96,Изделия текстильные технического назначения прочие 
13.99,"Изделия текстильные прочие, не включенные в другие группировки "
14.1,"Одежда, кроме одежды из меха "
14.11,Одежда из кожи 
14.12,Спецодежда 
14.13,Одежда верхняя прочая 
14.14,Белье нательное 
14.19,Одежда прочая и аксессуары 
14.2,Изделия меховые 
14.3,Предметы одежды трикотажные и вязаные 
14.31,Изделия чулочно-носочные трикотажные или вязаные 
14.39,Предметы одежды трикотажные и вязаные прочие 
15.1,"Кожа дубленая и выделанная; чемоданы, сумки дамские, изделия шорно-седельные и упряжь; меха выделанные и окрашенные "
15.11,Кожа дубленая и выделанная; меха выделанные и окрашенные 
15.12,"Чемоданы, сумки дамские и аналогичные изделия; изделия шорно-седельные и упряжь "
15.2,Обувь 
16.1,"Лесоматериалы, распиленные и строганые "
16.2,"Изделия из дерева, пробки, соломки и материалов для плетения "
16.21,Листы для облицовки и плиты многослойные 
16.22,Полы паркетные 
16.23,Изделия деревянные строительные и столярные прочие 
16.24,Тара деревянная 
16.29,"Изделия из дерева, пробки, соломки и материалов для плетения, прочие "
17.1,"Целлюлоза, бумага и картон "
17.11,Целлюлоза 
17.12,Бумага и картон 
17.2,Изделия из бумаги и картона 
17.21,Бумага и картон гофрированные и тара бумажная и картонная 
17.22,Изделия хозяйственные и санитарно-гигиенические и туалетные принадлежности 
17.23,Принадлежности канцелярские бумажные 
17.24,Обои 
17.29,Изделия из бумаги и картона прочие 
18.1,"Услуги полиграфические и услуги, связанные с печатанием "
18.11,Услуги по печатанию газет 
18.12,Услуги печатные прочие 
18.13,Услуги по подготовке к печати и предпечатные услуги 
18.14,Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий 
18.2,"Услуги по копированию звуко- и видеозаписей, а также программных средств "
19.1,Продукция коксовых печей 
19.2,Нефтепродукты 
19.3,Продукция агломерации угля 
20.1,"Вещества химические основные, удобрения химические и азотные, пластмассы и синтетический каучук в первичных формах "
20.11,Газы промышленные 
20.12,Красители и пигменты 
20.13,Вещества химические неорганические основные прочие 
20.14,Вещества химические органические основные прочие 
20.15,Удобрения и соединения азотные 
20.16,Пластмассы в первичных формах 
20.17,Каучуки синтетические в первичных формах 
20.2,Пестициды и агрохимические продукты прочие 
20.3,"Материалы лакокрасочные и аналогичные для нанесения покрытий, полиграфические краски и мастики "
20.4,"Мыло и средства моющие, средства чистящие и полирующие, средства парфюмерные и косметические "
20.41,"Мыло и моющие средства, чистящие и полирующие средства "
20.42,Средства парфюмерные и косметические 
20.5,Продукты химические прочие 
20.51,Вещества взрывчатые 
20.52,Клеи 
20.53,Масла эфирные 
20.59,"Продукты химические прочие, не включенные в другие группировки "
20.6,Волокна химические 
21.1,Субстанции фармацевтические 
21.2,"Препараты лекарственные и материалы, применяемые в медицинских целях "
22.1,Изделия резиновые 
22.11,"Шины, покрышки и камеры резиновые; восстановление протекторов и резиновых шин "
22.19,Изделия из резины прочие 
22.2,Изделия из пластмасс 
22.21,"Плиты, листы, трубы и профили пластмассовые "
22.22,Изделия пластмассовые упаковочные 
22.23,Изделия пластмассовые строительные 
22.29,Изделия пластмассовые прочие 
23.1,Стекло и изделия из стекла 
23.11,Стекло листовое 
23.12,Стекло листовое гнутое и обработанное 
23.13,Стекло полое 
23.14,Стекловолокно 
23.19,"Стекло прочее, включая технические изделия из стекла "
23.2,Изделия огнеупорные 
23.3,Материалы керамические строительные 
23.31,Плиты и плитки керамические 
23.32,"Кирпичи, черепица и изделия строительные из обожженной глины "
23.4,Изделия фарфоровые и керамические прочие 
23.41,Изделия керамические хозяйственные и декоративные 
23.42,Изделия санитарно-технические из керамики 
23.43,Изоляторы электрические и арматура изолирующая из керамики 
23.44,Изделия технические прочие из керамики 
23.49,Изделия керамические прочие 
23.5,"Цемент, известь и гипс "
23.51,Цемент 
23.52,Известь и гипс 
23.6,"Изделия из бетона, цемента и гипса "
23.61,"Изделия из бетона, используемые в строительстве "
23.62,Изделия из гипса строительные 
23.63,"Бетон, готовый для заливки (товарный бетон) "
23.64,Смеси и растворы строительные 
23.65,Цемент волокнистый 
23.69,"Изделия из гипса, бетона или цемента прочие "
23.7,"Камень разрезанный, обработанный и отделанный "
23.9,Продукция минеральная неметаллическая прочая 
23.91,Изделия абразивные 
23.99,"Продукция минеральная неметаллическая прочая, не включенная в другие группировки "
24.1,"Железо, чугун, сталь и ферросплавы "
24.2,"Трубы, профили пустотелые и их фитинги стальные "
24.3,Полуфабрикаты стальные прочие 
24.31,Прутки холоднотянутые 
24.32,Штрипс узкий холоднокатаный 
24.33,Изделия холодной штамповки или гибки 
24.34,Проволока холоднотянутая 
24.4,Металлы основные драгоценные и цветные прочие; топливо ядерное переработанное 
24.41,Металлы драгоценные 
24.42,Алюминий 
24.43,"Свинец, цинк и олово "
24.44,Медь 
24.45,Металлы цветные прочие 
24.46,Топливо ядерное переработанное 
24.5,Услуги по литью металлов 
24.51,Услуги по литью чугуна 
24.52,Услуги по литью стали 
24.53,Услуги по литью легких металлов 
24.54,Услуги по литью прочих цветных металлов 
25.1,Металлоконструкции строительные 
25.11,Металлоконструкции строительные и их части 
25.12,Двери и окна из металлов 
25.2,"Резервуары, цистерны и аналогичные емкости из металлов "
25.21,Радиаторы и водогрейные котлы центрального отопления 
25.29,"Резервуары, цистерны и аналогичные емкости из металлов прочие "
25.3,"Котлы паровые, кроме водогрейных котлов центрального отопления "
25.4,Оружие и боеприпасы 
25.5,"Услуги по ковке, прессованию, штамповке и профилированию листового металла; услуги по производству изделий методом порошковой металлургии "
25.6,Услуги по обработке металлов и нанесению покрытий на них; услуги по обработке металлических изделий с использованием основных технологических процессов машиностроения 
25.61,Услуги по обработке металлов и нанесению покрытий на них 
25.62,Услуги по обработке металлических изделий с использованием основных технологических процессов машиностроения 
25.7,"Изделия ножевые, инструмент и универсальные скобяные изделия "
25.71,Изделия ножевые и столовые приборы 
25.72,Замки и петли 
25.73,Инструмент 
25.9,Изделия металлические готовые прочие 
25.91,Бочки и аналогичные емкости из черных металлов 
25.92,Тара металлическая легкая 
25.93,"Проволока, цепи и пружины "
25.94,Изделия крепежные и винты крепежные 
25.99,"Металлоизделия готовые прочие, не включенные в другие группировки "
26.1,Компоненты электронные и платы 
26.11,Компоненты электронные 
26.12,Платы печатные смонтированные 
26.2,Компьютеры и периферийное оборудование 
26.3,Оборудование коммуникационное 
26.4,Техника бытовая электронная 
26.5,"Оборудование для измерения, испытаний и навигации; часы всех видов "
26.51,"Оборудование для измерения, испытаний и навигации "
26.52,Часы всех видов 
26.6,"Оборудование для облучения, электрическое диагностическое и терапевтическое, применяемые в медицинских целях "
26.7,Приборы оптические и фотографическое оборудование 
26.8,Носители информации магнитные и оптические 
26.8,Носители данных магнитные и оптические 
27.1,"Электродвигатели, генераторы, трансформаторы и электрическая распределительная и контрольно-измерительная аппаратура "
27.11,"Электродвигатели, генераторы и трансформаторы "
27.12,Аппаратура распределительная и регулирующая электрическая 
27.2,Батареи и аккумуляторы 
27.3,Кабели и арматура кабельная 
27.31,Кабели волоконно-оптические 
27.32,Провода и кабели электронные и электрические прочие 
27.33,Изделия электроустановочные 
27.4,Оборудование электрическое осветительное 
27.5,Приборы бытовые 
27.51,Приборы бытовые электрические 
27.52,Приборы бытовые неэлектрические 
27.9,Оборудование электрическое прочее 
28.1,Машины и оборудование общего назначения 
28.11,"Двигатели и турбины, кроме двигателей авиационных, автомобильных и мотоциклетных "
28.12,Оборудование гидравлическое и пневматическое силовое 
28.13,Насосы и компрессоры прочие 
28.14,"Арматура трубопроводная (арматура)(краны, клапаны и прочие) "
28.15,"Подшипники, зубчатые колеса, зубчатые передачи и элементы приводов "
28.2,Машины и оборудование общего назначения прочие 
28.21,"Камеры, печи и печные горелки "
28.22,Оборудование подъемно-транспортное 
28.23,"Машины офисные и оборудование, кроме компьютеров и периферийного оборудования "
28.24,Инструменты ручные с механизированным приводом 
28.25,Оборудование промышленное холодильное и вентиляционное 
28.29,"Машины и оборудование общего назначения прочие, не включенные в другие группировки "
28.3,Машины и оборудование для сельского и лесного хозяйства 
28.4,Оборудование металлообрабатывающее и станки 
28.41,Оборудование металлообрабатывающее 
28.49,Станки прочие 
28.9,Оборудование специального назначения прочее 
28.91,Оборудование для металлургии 
28.92,Оборудование для добычи полезных ископаемых подземным и открытым способами и строительства 
28.93,"Оборудование для производства пищевых продуктов, напитков и табачных изделий "
28.94,"Оборудование для текстильного, швейного и кожевенного производства "
28.95,Оборудование для производства бумаги и картона 
28.96,Оборудование для обработки резины и пластмасс 
28.99,"Оборудование специального назначения прочее, не включенное в другие группировки "
29.1,Средства автотранспортные 
29.2,Кузова (корпуса) для автотранспортных средств; прицепы и полуприцепы 
29.3,Части и принадлежности для автотранспортных средств 
29.31,Оборудование электрическое и электронное для автотранспортных средств 
29.32,Комплектующие и принадлежности для автотранспортных средств прочие 
30.1,"Корабли, суда и лодки "
30.11,"Корабли, суда и плавучие конструкции "
30.12,Суда прогулочные и спортивные 
30.2,Локомотивы железнодорожные и подвижной состав 
30.3,Аппараты летательные и космические и соответствующее оборудование; беспилотные авиационные системы (БАС) 
30.4,Машины боевые военные 
30.9,"Средства транспортные и оборудование, не включенные в другие группировки "
30.91,Мотоциклы 
30.92,Велосипеды и коляски инвалидные 
30.99,"Средства транспортные и оборудование прочие, не включенные в другие группировки "
31.0,Мебель 
31.01,Мебель для офисов и предприятий торговли 
31.02,Мебель кухонная 
31.03,Матрасы 
31.09,Мебель прочая 
32.1,"Изделия ювелирные, бижутерия и подобные изделия "
32.11,Монеты 
32.12,Изделия ювелирные и подобные 
32.13,Бижутерия и подобные изделия 
32.2,Инструменты музыкальные 
32.3,Товары спортивные 
32.4,Игры и игрушки 
32.5,Инструменты и оборудование медицинские 
32.9,"Изделия готовые, не включенные в другие группировки "
32.91,Метлы и щетки 
32.99,"Изделия готовые прочие, не включенные в другие группировки "
33.1,"Услуги по ремонту металлоизделий, машин и оборудования "
33.11,Услуги по ремонту металлоизделий 
33.12,Услуги по ремонту оборудования 
33.13,Услуги по ремонту электронного и оптического оборудования 
33.14,Услуги по ремонту электрического оборудования 
33.15,Услуги по ремонту и техническому обслуживанию судов и лодок 
33.16,Услуги по ремонту и техническому обслуживанию летательных и космических аппаратов 
33.17,Услуги по ремонту и техническому обслуживанию прочих транспортных средств и обо рудования 
33.19,Услуги по ремонту прочего оборудования 
33.2,Услуги по монтажу промышленных машин и оборудования 
35.1,"Услуги по производству, передаче и распределению электроэнергии "
35.11,Электроэнергия 
35.12,Услуги по передаче электроэнергии и технологическому присоединению к распределительным электросетям 
35.13,Услуги по распределению электроэнергии 
35.14,Услуги по торговле электроэнергией 
35.2,Газы горючие искусственные; услуги по распределению газообразного топлива по трубопроводам 
35.21,Газы горючие искусственные 
35.22,Услуги по распределению газообразного топлива по трубопроводам 
35.23,"Услуги по торговле газом, подаваемым по трубопроводам "
35.3,Услуги по снабжению паром и кондиционированию воздуха 
36.0,Вода природная; услуги по очистке воды и водоснабжению 
37.0,Услуги по водоотведению; шлам сточных вод 
38.1,Отходы; услуги по сбору отходов 
38.11,Отходы неопасные; услуги по сбору неопасных отходов 
38.12,Отходы опасные; услуги по сбору опасных отходов 
38.2,Услуги по обработке и утилизации отходов 
38.21,Услуги по переработке и утилизации отходов неопасных 
38.22,Услуги по переработке и утилизации опасных отходов 
38.3,Услуги по восстановлению материалов; вторичное сырье 
38.31,Услуги по демонтажу обломков 
38.32,Услуги по сортировке материалов для восстановления; сырье вторичное 
39.0,Услуги по рекультивации и прочие услуги по утилизации отходов 
41.1,Документация проектная для строительства 
41.2,Здания и работы по возведению зданий 
42.1,Дороги автомобильные и железные; строительные работы по строительству автомобильных дорог и железных дорог 
42.11,Дороги автомобильные и автомагистрали; строительные работы по строительству автомобильных дорог и автомагистралей 
42.12,Дороги железные наземные и подземные; строительные работы по строительству наземных и подземных железных дорог 
42.13,Мосты и тоннели; строительные работы по строительству мостов и тоннелей 
42.2,Сооружения и строительные работы по строительству инженерных коммуникаций 
42.21,Сооружения и строительные работы по строительству инженерных коммуникаций для жидкостей и газов 
42.22,Сооружения и строительные работы по строительству коммунальных объектов для электроснабжения и связи 
42.9,Сооружения и строительные работы по строительству прочих гражданских сооружений 
42.91,Сооружения водные; работы строительные по строительству водных сооружений 
42.99,"Сооружения и строительные работы по строительству прочих гражданских сооружений, не включенных в другие группировки "
43.1,Работы по сносу зданий и сооружений и по подготовке строительного участка 
43.11,Работы по сносу зданий и сооружений 
43.12,Работы по подготовке строительной площадки 
43.13,Работы буровые и разведочные буровые 
43.2,"Работы электромонтажные, работы по монтажу водопроводных и канализационных систем и прочие строительно-монтажные работы "
43.21,Работы электромонтажные 
43.22,"Работы по монтажу систем водопровода, канализации, отопления и кондиционирования воздуха "
43.29,Работы строительно-монтажные прочие 
43.3,Работы завершающие и отделочные в зданиях и сооружениях 
43.31,Работы штукатурные 
43.32,Работы столярные и плотничные 
43.33,Работы по устройству покрытий полов и облицовке стен 
43.34,Работы малярные и стекольные 
43.39,"Работы завершающие и отделочные в зданиях и сооружениях, прочие "
43.9,Работы строительные специализированные прочие 
43.91,Работы кровельные 
43.99,"Работы строительные специализированные, не включенные в другие группировки "
45.1,Услуги по торговле автотранспортными средствами 
45.11,Услуги по торговле легковыми автомобилями и грузовыми автомобилями малой грузоподъемности 
45.19,Услуги по торговле прочими автотранспортными средствами 
45.2,Услуги по техническому обслуживанию и ремонту автотранспортных средств 
45.3,"Услуги по торговле автомобильными деталями, узлами и принадлежностями "
