code,category
45.31,"Услуги по оптовой торговле автомобильными деталями, узлами и принадлежностями "
45.32,"Услуги по розничной торговле автомобильными деталями, узлами и принадлежностями "
45.4,"Услуги по торговле мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов "
46.1,Услуги по оптовой торговле за вознаграждение или на договорной основе 
46.11,"Услуги по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами за вознаграждение или на договорной основе "
46.12,"Услуги по оптовой торговле топливом, рудами, металлами и промышленными химическими веществами за вознаграждение или на договорной основе "
46.13,Услуги по оптовой торговле древесиной и строительными материалами за вознаграждение или на договорной основе 
46.14,"Услуги по оптовой торговле машинами, производственным оборудованием, судами и летательными аппаратами за вознаграждение или на договорной основе "
46.15,"Услуги по оптовой торговле мебелью, бытовыми товарами, скобяными, ножевыми и прочими металлическими изделиями за вознаграждение или на договорной основе "
46.16,"Услуги по оптовой торговле текстильными изделиями, одеждой, изделиями из меха, обувью и изделиями из кожи за вознаграждение или на договорной основе "
46.17,"Услуги по оптовой торговле пищевыми продуктами, напитками и табачными изделия ми за вознаграждение или на договорной основе "
46.18,Услуги по оптовой торговле прочими отдельными товарами за вознаграждение или на договорной основе 
46.19,Услуги по оптовой торговле универсальным ассортиментом товаров за вознаграждение или на договорной основе 
46.2,Услуги по оптовой торговле сельскохозяйственным сырьем и живыми животными 
46.21,"Услуги по оптовой торговле зерном, необработанным табаком, семенами и кормами для животных "
46.22,Услуги по оптовой торговле цветами и растениями 
46.23,Услуги по оптовой торговле живыми животными 
46.24,Услуги по оптовой торговле шкурами и кожей 
46.3,"Услуги по оптовой торговле пищевыми продуктами, напитками и табачными изделиями "
46.31,Услуги по оптовой торговле фруктами и овощами 
46.32,Услуги по оптовой торговле мясом и мясными продуктами 
46.33,"Услуги по оптовой торговле молочными продуктами, яйцами, пищевыми маслами и жирами "
46.34,Услуги по оптовой торговле алкогольными и другими напитками 
46.35,Услуги по оптовой торговле табачными изделиями 
46.36,"Услуги по оптовой торговле сахаром, шоколадом и сахаристыми кондитерскими изделиями "
46.37,"Услуги по оптовой торговле кофе, чаем, какао и пряностями "
46.38,"Услуги по оптовой торговле прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков "
46.39,"Услуги по неспециализированной оптовой торговле пищевыми продуктами, напитками и табачными изделиями "
46.4,Услуги по оптовой торговле непродовольственными потребительскими товарами 
46.41,Услуги по оптовой торговле текстильными изделиями 
46.42,Услуги по оптовой торговле одеждой и обувью 
46.43,Услуги по оптовой торговле бытовыми электроприборами 
46.44,Услуги по оптовой торговле изделиями из фарфора и стекла и чистящими средствами 
46.45,Услуги по оптовой торговле парфюмерными и косметическими товарами 
46.46,Услуги по оптовой торговле фармацевтической продукцией 
46.47,"Услуги по оптовой торговле мебелью, коврами и осветительным оборудованием "
46.48,Услуги по оптовой торговле часами и ювелирными изделиями 
46.49,Услуги по оптовой торговле прочими бытовыми товарами 
46.5,Услуги по оптовой торговле информационным и коммуникационным оборудованием 
46.51,"Услуги по оптовой торговле компьютерами, компьютерными периферийными устройствами и программным обеспечением "
46.52,Услуги по оптовой торговле электронным и телекоммуникационным оборудованием и его частями 
46.6,"Услуги по оптовой торговле прочими машинами, оборудованием и инструментами "
46.61,"Услуги по оптовой торговле сельскохозяйственными машинами, оборудованием и инструментами "
46.62,Услуги по оптовой торговле станками 
46.63,Услуги по оптовой торговле машинами и оборудованием для добычи полезных ископаемых и строительства 
46.64,"Услуги по оптовой торговле машинами и оборудованием для текстильного, швейного и трикотажного производств "
46.65,Услуги по оптовой торговле офисной мебелью 
46.66,Услуги по оптовой торговле прочей офисной техникой и оборудованием 
46.69,Услуги по оптовой торговле прочими машинами и оборудованием 
46.7,Услуги по специализированной оптовой торговле прочие 
46.71,"Услуги по оптовой торговле твердым, жидким и газообразным топливом и связанными продуктами "
46.72,Услуги по оптовой торговле металлами и металлическими рудами 
46.73,"Услуги по оптовой торговле лесоматериалами, строительными материалами и санитарно-техническим оборудованием "
46.74,"Услуги по оптовой торговле скобяными изделиями, водопроводным и отопительным оборудованием и санитарно-технической арматурой "
46.75,Услуги по оптовой торговле химическими продуктами 
46.76,Услуги по оптовой торговле прочими промежуточными продуктами 
46.77,Услуги по оптовой торговле отходами и ломом 
46.9,Услуги по неспециализированной оптовой торговле 
47.1,Услуги по розничной торговле в неспециализированных магазинах 
47.11,"Услуги по розничной торговле преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах "
47.19,"Услуги по прочей розничной торговле в неспециализированных магазинах, в том числе осуществляемую в магазинах беспошлинной торговли "
47.2,"Услуги по розничной торговле пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах "
47.21,Услуги по розничной торговле фруктами и овощами в специализированных магазинах 
47.22,Услуги по розничной торговле мясом и мясными продуктами в специализированных магазинах 
47.23,"Услуги по розничной торговле рыбой, ракообразными и моллюсками в специализированных магазинах "
47.24,Услуги по розничной торговле хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах 
47.25,Услуги по розничной торговле напитками в специализированных магазинах 
47.26,Услуги по розничной торговле табачными изделиями в специализированных магазинах 
47.29,Услуги по розничной торговли прочими пищевыми продуктами в специализированных магазинах 
47.3,Услуги по розничной торговле моторным топливом в специализированных магазинах 
47.4,Услуги по розничной торговле информационным и коммуникационным оборудованием в специализированных магазинах 
47.41,"Услуги по розничной торговле компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах "
47.42,"Услуги по розничной торговле телекоммуникационным оборудованием, включая розничную торговлю мобильными телефонами, в специализированных магазинах "
47.43,Услуги по розничной торговле аудио- и видеотехникой в специализированных магазинах 
47.5,Услуги по розничной торговле прочими бытовыми изделиями в специализированных магазинах 
47.51,Услуги по розничной торговле текстильными изделиями в специализированных магазинах 
47.52,"Услуги по розничной торговле скобяными изделиями, лакокрасочными материалами и материалами для остекления в специализированных магазинах "
47.53,"Услуги по розничной торговле коврами, ковровыми изделиями, покрытиями для пола и стен в специализированных магазинах "
47.54,Услуги по розничной торговле бытовыми электротоварами в специализированных магазинах 
47.59,"Услуги по розничной торговле мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах "
47.6,Услуги по розничной торговле товарами культурно-развлекательного назначения в специализированных магазинах 
47.61,Услуги по розничной торговле книгами в специализированных магазинах 
47.62,Услуги по розничной торговле газетами и канцелярскими товарами в специализированных магазинах 
47.63,Услуги по розничной торговле музыкальными и видеозаписями в специализированных магазинах 
47.64,Услуги по розничной торговле спортивным оборудованием и спортивными товарами в специализированных магазинах 
47.65,Услуги по розничной торговле играми и игрушками в специализированных магазинах 
47.7,Услуги по розничной торговле прочими товарами в специализированных магазинах 
47.71,Услуги по розничной торговле одеждой в специализированных магазинах 
47.72,Услуги по розничной торговле обувью и изделиями из кожи в специализированных магазинах 
47.73,Услуги по розничной торговле лекарственными средствами в специализированных магазинах 
47.74,"Услуги по розничной торговле изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах "
47.75,Услуги по розничной торговле косметическими товарами и товарами личной гигиены в специализированных магазинах 
47.76,"Услуги по розничной торговле цветами и другими растениями, семенами, удобрениями, домашними животными и кормами для домашних животных в специализированных магазинах "
47.77,Услуги по розничной торговле часами и ювелирными изделиями в специализированных магазинах 
47.78,Услуги прочей розничной торговли в специализированных магазинах 
47.79,Услуги по розничной торговле бывшими в употреблении товарами в магазинах 
47.8,Услуги по розничной торговле в нестационарных торговых объектах и на рынках 
47.81,"Услуги по розничной торговле в нестационарных торговых объектах и на рынках пищевыми продуктами, напитками и табачной продукцией "
47.82,"Услуги по розничной в нестационарных торговых объектах и на рынках текстилем, одеждой и обувью "
47.89,Услуги по розничной торговле в нестационарных торговых объектах и на рынках прочими товарами 
47.9,"Услуги по розничной торговле вне магазинов, палаток, рынков "
47.91,Услуги по розничной торговле по почте или по информационно-коммуникационной сети Интернет 
47.99,"Услуги по прочей розничной торговле вне магазинов, нестационарных торговых объектов, рынков "
49.1,Услуги железнодорожного транспорта по перевозке пассажиров в междугородном и международном сообщении 
49.2,Услуги железнодорожного транспорта по перевозке грузов 
49.3,Услуги сухопутного пассажирского транспорта прочие 
49.31,Услуги по перевозке пассажиров сухопутным транспортом в городском и пригородном сообщении 
49.32,Услуги легкового такси и арендованных легковых автомобилей с водителем 
49.39,"Услуги сухопутного пассажирского транспорта прочие, не включенные в другие группировки "
49.4,Услуги по грузовым перевозкам автомобильным транспортом и услуги по переезду 
49.41,Услуги по грузовым перевозкам автомобильным транспортом 
49.42,Услуги по переезду 
49.5,Услуги трубопроводного транспорта 
50.1,Услуги по заграничным и каботажным перевозкам пассажиров морскими судами 
50.2,Услуги по заграничным и каботажным перевозкам грузов морскими судами 
50.3,Услуги по перевозке пассажиров внутренним водным транспортом 
50.4,Услуги по перевозке грузов внутренним водным транспортом 
51.1,Услуги по пассажирским перевозкам воздушным транспортом 
51.2,Услуги по перевозке грузов воздушным транспортом и космическим транспортом 
51.21,Услуги по перевозке грузов воздушным транспортом 
51.22,Услуги космического транспорта 
52.1,Услуги по складированию и хранению 
52.2,Услуги транспортные вспомогательные 
52.21,"Услуги, связанные с сухопутным транспортом "
52.22,"Услуги, связанные с водным транспортом "
52.23,"Услуги вспомогательные, связанные с воздушным и космическим транспортом "
52.24,Услуги по обработке грузов 
52.29,Услуги транспортные вспомогательные прочие 
53.1,Услуги почтовой связи общего пользования 
53.2,Услуги почтовой связи прочие и услуги курьерские 
55.1,Услуги гостиниц и аналогичные услуги по предоставлению временного жилья 
55.2,Услуги по предоставлению временного жилья в местах отдыха и прочих местах для краткосрочного проживания 
55.3,"Услуги кемпингов, стоянок для передвижных дач и жилых автоприцепов "
55.9,Услуги по предоставлению временного жилья прочие 
56.1,Услуги ресторанов и услуги по доставке продуктов питания 
56.2,Услуги по поставке продукции общественного питания и обслуживанию торжественных мероприятий и прочие услуги по обеспечению питанием 
56.21,Услуги по поставке продукции общественного питания и обслуживанию торжественных мероприятий 
56.29,Услуги по обеспечению питанием прочие 
56.3,Услуги по подаче напитков 
58.1,"Услуги по изданию книг, периодических изданий и прочие издательские услуги "
58.11,Услуги по изданию книг 
58.12,Услуги по изданию адресных справочников и списков адресатов 
58.13,Услуги по изданию газет 
58.14,Услуги по изданию журналов и периодических изданий 
58.19,Услуги в области издательской деятельности прочие 
58.2,Услуги по изданию программного обеспечения 
58.21,Услуги по изданию компьютерных игр 
58.29,Услуги по изданию прочего программного обеспечения 
59.1,"Услуги по производству кинофильмов, видеофильмов и телевизионных программ "
59.12,Услуги по редактированию отснятых материалов кинофильмов и видеофильмов и по компоновке телевизионных программ 
59.13,"Услуги по распространению кинофильмов, видеофильмов и телевизионных программ "
59.14,Услуги по демонстрации кинофильмов 
59.2,Услуги звукозаписи и услуги по изданию музыкальных произведений 
60.1,Услуги в области радиовещания 
60.2,Услуги в области телевизионного вещания 
61.1,Услуги телекоммуникационные проводные 
61.2,Услуги телекоммуникационные беспроводные 
61.3,Услуги спутниковой связи 
61.9,Услуги телекоммуникационные прочие 
62.0,Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий 
62.01,Продукты программные и услуги по разработке и тестированию программного обеспечения 
62.02,"Услуги консультативные, связанные с компьютерной техникой "
62.03,Услуги по управлению компьютерным оборудованием 
62.09,Услуги в области информационных технологий прочие и компьютерные услуги 
63.1,"Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет "
63.11,"Услуги по обработке данных, размещению и взаимосвязанные услуги "
63.12,Содержание порталов в информационно-коммуникационной сети Интернет 
63.9,Услуги информационные прочие 
63.91,Услуги информационных агентств 
63.99,"Услуги информационные прочие, не включенные в другие группировки "
64.1,Услуги по посредничеству в денежно-кредитной сфере 
64.11,Услуги Центрального банка Российской Федерации (Банка России) 
64.19,Услуги по посредничеству в денежно-кредитной сфере прочие 
64.2,Услуги холдинговых компаний 
64.3,Услуги инвестиционных фондов и аналогичных финансовых организаций 
64.9,"Услуги финансовые прочие, кроме услуг по страхованию и пенсионному обеспечению "
64.91,Услуги по финансовой аренде (лизингу/сублизингу) 
64.92,Услуги по предоставлению кредитов прочие 
64.99,"Услуги финансовые прочие, кроме услуг по страхованию и пенсионному обеспечению, не включенные в другие группировки "
65.1,Услуги по страхованию 
65.11,Услуги по страхованию жизни 
65.12,"Услуги по страхованию, кроме страхования жизни "
65.2,Услуги по перестрахованию 
65.3,Услуги негосударственных пенсионных фондов 
66.1,"Услуги вспомогательные, связанные с услугами финансового посредничества, кроме страхования и пенсионного обеспечения "
66.11,Услуги по управлению финансовыми рынками 
66.12,Услуги по брокерским операциям с ценными бумагами и товарами 
66.19,"Услуги вспомогательные прочие по отношению к финансовым услугам, кроме страхования и пенсионного обеспечения "
66.2,Услуги вспомогательные в сфере страхования и негосударственного пенсионного обеспечения 
66.21,Услуги по оценке риска и ущерба 
66.22,Услуги страховых агентов и брокеров 
66.29,Услуги вспомогательные в сфере страхования и пенсионного обеспечения прочие 
66.3,Услуги по управлению фондами 
68.1,Услуги по покупке и продаже собственного недвижимого имущества 
68.2,Услуги по сдаче в аренду (внаем) собственного или арендованного недвижимого имущества 
68.3,Услуги по операциям с недвижимым имуществом за вознаграждение или на договорной основе 
68.31,"Услуги агентств недвижимости, предоставляемые за вознаграждение или на договорной основе "
68.32,"Услуги по управлению недвижимым имуществом, предоставляемые за вознаграждение или на договорной основе "
69.1,Услуги юридические 
69.2,Услуги в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию 
70.1,Услуги головных офисов 
70.2,Услуги консультативные по вопросам управления 
70.21,Услуги по связи с общественностью и информации 
70.22,Услуги консультативные в области управления предприятием 
71.1,"Услуги в области архитектуры, инженерно-технического проектирования и связанные технические консультативные услуги "
71.11,Услуги в области архитектуры 
71.12,Услуги в области инженерно-технического проектирования и связанные технические консультативные услуги 
71.2,"Услуги в области технических испытаний, исследований, анализа и сертификации "
72.1,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области естественных и технических наук "
72.11,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области биотехнологии "
72.19,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области естественных и технических наук, прочие "
72.2,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области общественных и гуманитарных наук "
73.1,Услуги рекламные 
73.11,"Услуги, предоставляемые рекламными агентствами "
73.12,Услуги по представительству в средствах массовой информации 
73.2,Услуги по исследованию конъюнктуры рынка и общественного мнения 
74.1,Услуги по специализированному дизайну 
74.2,Услуги в области фотографии 
74.3,Услуги по письменному и устному переводу 
74.9,"Услуги профессиональные, научные и технические, прочие, не включенные в другие группировки "
75.0,Услуги ветеринарные 
77.1,Услуги по аренде и лизингу автотранспортных средств 
77.11,Услуги по аренде и лизингу легковых автомобилей и легких автотранспортных средств 
77.12,Услуги по аренде и лизингу грузовых транспортных средств 
77.2,Услуги по прокату бытовых изделий и предметов личного пользования 
77.21,"Услуги по прокату оборудования для отдыха, развлечений и занятий спортом "
77.22,"Услуги по прокату видеокассет и аудиокассет, грампластинок, компакт-дисков (CD), цифровых видеодисков (DVD) "
77.29,Услуги по прокату прочих бытовых изделий и предметов личного пользования 
77.3,"Услуги по аренде и лизингу прочих машин, оборудования и материальных средств "
77.31,Услуги по аренде и лизингу сельскохозяйственных машин и оборудования 
77.32,Услуги по аренде и лизингу строительных машин и оборудования для гражданского строительства 
77.33,"Услуги по аренде и лизингу офисных машин и оборудования, включая вычислительную технику "
77.34,Услуги по аренде и лизингу водных транспортных средств 
77.35,Услуги по аренде и лизингу воздушных транспортных средств 
77.39,"Услуги по аренде и лизингу прочих машин, оборудования и материальных средств, не включенных в другие группировки "
77.4,"Услуги по предоставлению лицензий на право использования интеллектуальной собственности и аналогичных продуктов, кроме произведений, охраняемых авторским правом "
78.1,"Услуги, предоставляемые агентствами по трудоустройству "
78.2,"Услуги, предоставляемые агентствами по временному трудоустройству "
78.3,Услуги в области трудовых ресурсов по обеспечению персоналом прочие 
79.1,Услуги туристических агентств и туроператоров 
79.11,Услуги туристических агентств 
79.12,Услуги туроператоров 
79.9,Услуги по бронированию и взаимосвязанные услуги прочие 
80.1,"Услуги охранных служб, в том числе частных "
80.2,Услуги систем обеспечения безопасности 
80.3,Услуги по проведению расследований 
81.1,Услуги по комплексному обслуживанию помещений 
81.2,Услуги по чистке и уборке 
81.21,Услуги по общей уборке зданий 
81.22,Услуги по чистке и уборке зданий и промышленной уборке прочие 
81.29,Услуги по чистке и уборке прочие 
81.3,Услуги по планировке ландшафта 
82.1,Услуги в области административного и вспомогательного обслуживания 
82.11,Услуги в области административного обслуживания комплексные 
82.19,"Услуги по фотокопированию, подготовке документов и прочие вспомогательные услуги по обеспечению деятельности офиса "
82.2,Услуги центров обработки телефонных вызовов 
82.3,Услуги по организации конференций и торговых выставок 
82.9,"Услуги вспомогательные, связанные с предпринимательской деятельностью, не включенные в другие группировки "
82.91,Услуги агентств по сбору платежей и бюро кредитной информации 
82.92,Услуги по упаковыванию 
82.99,"Услуги вспомогательные, связанные с предпринимательской деятельностью, прочие, не включенные в другие группировки "
84.1,Услуги государственного управления и услуги в области экономической и социальной политики 
84.11,Услуги государственного управления общего характера 
84.12,"Услуги государственного управления организаций, обеспечивающих услуги в области здравоохранения, образования, культуры, и прочие социальные услуги, кроме услуг в области социального обеспечения "
84.13,Услуги государственного управления по повышению эффективности коммерческой деятельности предприятий 
84.2,Услуги государства обществу в целом 
84.21,Услуги в области международных отношений 
84.22,Услуги в области обеспечения военной безопасности 
84.23,Услуги в области юстиции и правосудия 
84.24,Услуги по обеспечению общественного порядка и безопасности 
84.25,Услуги по обеспечению безопасности в чрезвычайных ситуациях; услуги по обеспечению безопасности в области использования атомной энергии 
84.3,Услуги в области обязательного социального обеспечения 
85.1,Услуги в области общего образования 
85.11,Услуги в области дошкольного образования 
85.12,Услуги в области общего начального образования 
85.13,Услуги в области основного общего образования 
85.14,Услуги в области общего среднего образования 
85.2,Услуги в области профессионального образования 
85.21,Услуги в области среднего профессионального образования 
85.22,Услуги в области высшего образования 
85.23,Услуги по подготовке кадров высшей квалификации 
85.3,Услуги по профессиональному обучению 
85.4,Услуги по дополнительному образованию 
85.41,Услуги по дополнительному образованию детей и взрослых 
85.42,Услуги по дополнительному профессиональному образованию 
86.1,Услуги больничных организаций 
86.2,Услуги в области медицинской и стоматологической практики 
86.21,Услуги в области общей врачебной практики 
86.22,Услуги в области специализированной врачебной практики 
86.23,Услуги в области стоматологии 
86.9,Услуги в области медицины прочие 
87.1,Услуги по медицинскому уходу с обеспечением проживания 
87.2,"Услуги по уходу с обеспечением проживания, предоставляемые для лиц с умственными и физическими недостатками, психиатрическими заболеваниями и наркологическими расстройствами "
87.3,Услуги по уходу с обеспечением проживания для престарелых и инвалидов 
87.9,Услуги по уходу с обеспечением проживания прочие 
88.1,Услуги социальные без обеспечения проживания для престарелых и инвалидов 
88.9,Услуги социальные без обеспечения проживания прочие 
88.91,Услуги по дневному уходу за детьми 
88.99,"Услуги социальные без обеспечения проживания прочие, не включенные в другие группировки "
90.0,"Услуги в области творчества, искусства и развлечений "
90.01,Услуги в области исполнительских искусств 
90.02,Услуги по поддержке исполнительских искусств 
90.03,Творчество художественное 
90.04,Услуги учреждений культуры и искусства 
91.0,"Услуги библиотек, архивов, музеев и прочие услуги в области культуры "
91.01,Услуги библиотек и архивов 
91.02,Услуги музеев 
91.03,"Услуги, связанные с деятельностью по использованию исторических мест, зданий и аналогичных туристических достопримечательностей "
91.04,"Услуги ботанических садов, зоопарков и природных заповедников "
92.1,Услуги по организации и проведению азартных игр и заключению пари 
92.11,Услуги казино 
92.12,Услуги залов игровых автоматов 
92.13,Услуги по организации заключения пари 
92.2,Услуги по организации и проведению лотерей 
92.21,Услуги организаторов лотерей 
92.22,Услуги операторов лотерей 
92.23,Услуги распространителей лотерейных билетов 
93.1,Услуги в области спорта 
93.11,Услуги спортивных объектов 
93.12,"Услуги, оказываемые спортивными клубами "
93.13,Услуги фитнес-центров 
93.19,Услуги в области спорта прочие 
93.2,Услуги в области развлечений и отдыха 
93.21,Услуги парков культуры и отдыха и тематических парков 
93.29,Услуги в области развлечений и отдыха прочие 
94.1,Услуги предпринимательских и профессиональных членских некоммерческих организаций 
94.11,Услуги предпринимательских членских некоммерческих организаций 
94.12,"Услуги, предоставляемые профессиональными членскими организациями "
94.2,"Услуги, предоставляемые профессиональными союзами "
94.9,"Услуги прочих общественных и прочих некоммерческих организаций, не включенных в другие группировки "
94.91,Деятельность религиозных организаций 
94.92,"Услуги, предоставляемые политическими организациями "
94.99,"Услуги прочих общественных организаций и прочих некоммерческих организаций, кроме религиозных и политических организаций "
95.1,Услуги по ремонту компьютеров и коммуникационного оборудования 
95.11,Услуги по ремонту компьютеров и периферийного оборудования 
95.12,Услуги по ремонту коммуникационного оборудования 
95.2,Услуги по ремонту предметов личного потребления и бытовых товаров 
95.21,Услуги по ремонту приборов бытовой электроники 
95.22,"Услуги по ремонту бытовых приборов, домашнего и садового инвентаря "
95.23,Услуги по ремонту обуви и изделий из кожи 
95.24,Услуги по ремонту мебели и предметов домашнего обихода 
95.25,Услуги по ремонту часов и ювелирных изделий 
95.29,Услуги ремонту прочих предметов личного потребления и бытовых товаров 
96.0,Услуги персональные прочие 
96.01,Услуги по стирке и чистке (в том числе химической) изделий из тканей и меха 
96.02,Услуги парикмахерских и услуги салонов красоты прочие 
96.03,Услуги по организации похорон и связанные с этим услуги 
96.04,Услуги в области физкультурно-оздоровительной деятельности 
96.09,"Услуги персональные прочие, не включенные в другие группировки "
97.0,Услуги домашних хозяйств с наемными работниками 
98.1,"Продукция различная, произведенная частными домашними хозяйствами для собственного потребления "
98.2,"Услуги различные, предоставляемые частными домашними хозяйствами для собственного потребления "
99.0,"Услуги, предоставляемые экстерриториальными организациями и органами "
